aika_fi,toteutunut_MW,fingrid_ennuste_MW
2026-08-29 13:30:00+03:00,8754.94,11997.0
2026-08-29 13:45:00+03:00,8768.04,11997.0
2026-08-29 14:00:00+03:00,8779.5,11997.0
2026-08-29 14:15:00+03:00,8808.94,11997.0
2026-08-29 14:30:00+03:00,8800.22,11997.0
2026-08-29 14:45:00+03:00,8804.71,11997.0
2026-08-29 15:00:00+03:00,8851.05,11997.0
2026-08-29 15:15:00+03:00,8786.22,11997.0
2026-08-29 15:30:00+03:00,8746.28,11997.0
2026-08-29 15:45:00+03:00,8922.59,11997.0
2026-08-29 16:00:00+03:00,8973.5,11997.0
2026-08-29 16:15:00+03:00,8882.64,11997.0
2026-08-29 16:30:00+03:00,8924.07,11997.0
2026-08-29 16:45:00+03:00,8783.85,11997.0
2026-08-29 17:00:00+03:00,8721.31,11997.0
2026-08-29 17:15:00+03:00,8744.57,11997.0
2026-08-29 17:30:00+03:00,8734.11,11997.0
2026-08-29 17:45:00+03:00,8688.36,11997.0
2026-08-29 18:00:00+03:00,8669.14,11997.0
2026-08-29 18:15:00+03:00,8710.1,11997.0
2026-08-29 18:30:00+03:00,8707.26,11997.0
2026-08-29 18:45:00+03:00,8767.26,11997.0
2026-08-29 19:00:00+03:00,8875.48,11997.0
2026-08-29 19:15:00+03:00,8926.27,11997.0
2026-08-29 19:30:00+03:00,8884.64,11997.0
2026-08-29 19:45:00+03:00,8876.62,11997.0
2026-08-29 20:00:00+03:00,8871.22,11997.0
2026-08-29 20:15:00+03:00,8874.73,11997.0
2026-08-29 20:30:00+03:00,8826.18,11997.0
2026-08-29 20:45:00+03:00,8887.6,11997.0
2026-08-29 21:00:00+03:00,8932.97,11997.0
2026-08-29 21:15:00+03:00,8951.64,11997.0
2026-08-29 21:30:00+03:00,8800.07,11997.0
2026-08-29 21:45:00+03:00,8603.4,11997.0
2026-08-29 22:00:00+03:00,8784.87,11997.0
2026-08-29 22:15:00+03:00,8822.53,11997.0
2026-08-29 22:30:00+03:00,8661.53,11997.0
2026-08-29 22:45:00+03:00,8567.59,11997.0
2026-08-29 23:00:00+03:00,8563.7,11997.0
2026-08-29 23:15:00+03:00,8470.94,11997.0
2026-08-29 23:30:00+03:00,8281.14,11997.0
2026-08-29 23:45:00+03:00,8213.91,11997.0
2026-08-30 00:00:00+03:00,8124.53,11997.0
2026-08-30 00:15:00+03:00,8029.57,11997.0
2026-08-30 00:30:00+03:00,8012.25,11997.0
2026-08-30 00:45:00+03:00,7906.01,11997.0
2026-08-30 01:00:00+03:00,8132.9,11997.0
2026-08-30 01:15:00+03:00,8083.35,11997.0
2026-08-30 01:30:00+03:00,7785.8,11997.0
2026-08-30 01:45:00+03:00,7696.11,11997.0
2026-08-30 02:00:00+03:00,7827.91,11997.0
2026-08-30 02:15:00+03:00,7632.55,11997.0
2026-08-30 02:30:00+03:00,7649.07,11997.0
2026-08-30 02:45:00+03:00,7572.97,11997.0
2026-08-30 03:00:00+03:00,7591.15,11997.0
2026-08-30 03:15:00+03:00,7577.05,11997.0
2026-08-30 03:30:00+03:00,7634.9,11997.0
2026-08-30 03:45:00+03:00,7696.77,11997.0
2026-08-30 04:00:00+03:00,7597.55,11997.0
2026-08-30 04:15:00+03:00,7574.03,11997.0
2026-08-30 04:30:00+03:00,7536.03,11997.0
2026-08-30 04:45:00+03:00,7563.51,11997.0
2026-08-30 05:00:00+03:00,7679.25,11997.0
2026-08-30 05:15:00+03:00,7578.17,11997.0
2026-08-30 05:30:00+03:00,7578.99,11997.0
2026-08-30 05:45:00+03:00,7511.1,11997.0
2026-08-30 06:00:00+03:00,7449.79,11997.0
2026-08-30 06:15:00+03:00,7523.63,11997.0
2026-08-30 06:30:00+03:00,7651.02,11997.0
2026-08-30 06:45:00+03:00,7648.22,11997.0
2026-08-30 07:00:00+03:00,7706.53,11997.0
2026-08-30 07:15:00+03:00,7723.14,11997.0
2026-08-30 07:30:00+03:00,7799.54,11997.0
2026-08-30 07:45:00+03:00,7818.71,11997.0
2026-08-30 08:00:00+03:00,7817.53,11997.0
2026-08-30 08:15:00+03:00,7837.73,11997.0
2026-08-30 08:30:00+03:00,7864.61,11997.0
2026-08-30 08:45:00+03:00,7847.92,11997.0
2026-08-30 09:00:00+03:00,7920.74,11997.0
2026-08-30 09:15:00+03:00,7918.97,11997.0
2026-08-30 09:30:00+03:00,8046.33,11997.0
2026-08-30 09:45:00+03:00,8207.2,11997.0
2026-08-30 10:00:00+03:00,8351.58,11997.0
2026-08-30 10:15:00+03:00,8396.84,11997.0
2026-08-30 10:30:00+03:00,8404.39,11997.0
2026-08-30 10:45:00+03:00,8555.65,11997.0
2026-08-30 11:00:00+03:00,8820.6,11997.0
2026-08-30 11:15:00+03:00,8679.02,11997.0
2026-08-30 11:30:00+03:00,8656.48,11997.0
2026-08-30 11:45:00+03:00,8691.08,11997.0
2026-08-30 12:00:00+03:00,8992.41,11997.0
2026-08-30 12:15:00+03:00,8806.33,11997.0
2026-08-30 12:30:00+03:00,8743.17,11997.0
2026-08-30 12:45:00+03:00,8693.03,11997.0
2026-08-30 13:00:00+03:00,8934.59,11997.0
2026-08-30 13:15:00+03:00,8905.56,11997.0
2026-08-30 13:30:00+03:00,8915.06,11997.0
2026-08-30 13:45:00+03:00,8742.29,11997.0
2026-08-30 14:00:00+03:00,8579.0,11997.0
2026-08-30 14:15:00+03:00,8627.72,11997.0
2026-08-30 14:30:00+03:00,8667.2,11997.0
2026-08-30 14:45:00+03:00,8607.69,11997.0
2026-08-30 15:00:00+03:00,8693.55,11997.0
2026-08-30 15:15:00+03:00,8703.94,11997.0
2026-08-30 15:30:00+03:00,8558.95,11997.0
2026-08-30 15:45:00+03:00,8511.31,11997.0
2026-08-30 16:00:00+03:00,8540.3,11997.0
2026-08-30 16:15:00+03:00,8518.77,11997.0
2026-08-30 16:30:00+03:00,8512.06,11997.0
2026-08-30 16:45:00+03:00,8608.41,11997.0
2026-08-30 17:00:00+03:00,8740.16,11997.0
2026-08-30 17:15:00+03:00,8665.76,11997.0
2026-08-30 17:30:00+03:00,8517.08,11997.0
2026-08-30 17:45:00+03:00,8551.8,11997.0
2026-08-30 18:00:00+03:00,8584.3,11997.0
2026-08-30 18:15:00+03:00,8470.38,11997.0
2026-08-30 18:30:00+03:00,8492.42,11997.0
2026-08-30 18:45:00+03:00,8559.05,11997.0
2026-08-30 19:00:00+03:00,8544.98,11997.0
2026-08-30 19:15:00+03:00,8540.9,11997.0
2026-08-30 19:30:00+03:00,8604.08,11997.0
2026-08-30 19:45:00+03:00,8599.7,11997.0
2026-08-30 20:00:00+03:00,8635.23,11997.0
2026-08-30 20:15:00+03:00,8666.56,11997.0
2026-08-30 20:30:00+03:00,8611.36,11997.0
2026-08-30 20:45:00+03:00,8579.4,11997.0
2026-08-30 21:00:00+03:00,8602.94,11997.0
2026-08-30 21:15:00+03:00,8551.48,11997.0
2026-08-30 21:30:00+03:00,8468.18,11997.0
2026-08-30 21:45:00+03:00,8393.51,11997.0
2026-08-30 22:00:00+03:00,8574.62,11997.0
2026-08-30 22:15:00+03:00,8645.34,11997.0
2026-08-30 22:30:00+03:00,8601.89,11997.0
2026-08-30 22:45:00+03:00,8491.08,11997.0
2026-08-30 23:00:00+03:00,8305.7,11997.0
2026-08-30 23:15:00+03:00,8126.0,11997.0
2026-08-30 23:30:00+03:00,8040.5,11997.0
2026-08-30 23:45:00+03:00,8062.66,11997.0
2026-08-31 00:00:00+03:00,7905.22,11997.0
2026-08-31 00:15:00+03:00,7857.85,11997.0
2026-08-31 00:30:00+03:00,7656.68,11997.0
2026-08-31 00:45:00+03:00,7662.28,11997.0
2026-08-31 01:00:00+03:00,7736.04,11997.0
2026-08-31 01:15:00+03:00,7680.57,11997.0
2026-08-31 01:30:00+03:00,7554.82,11997.0
2026-08-31 01:45:00+03:00,7557.68,11997.0
2026-08-31 02:00:00+03:00,7622.81,11997.0
2026-08-31 02:15:00+03:00,7587.32,11997.0
2026-08-31 02:30:00+03:00,7454.2,11997.0
2026-08-31 02:45:00+03:00,7409.04,11997.0
2026-08-31 03:00:00+03:00,7412.18,11997.0
